word,disgust,surprise,neutral,anger,sad,happy,fear
advanced , 1.7253278E-5 , 3.4506559E-6 , 0.0013837129 , 3.4506559E-6 , 1.7253278E-5 , 1.0351967E-5 , 1.0351967E-5
advantage , 0.023809526 , 0.02813853 , 0.0021645024 , 0.015151517 , 0.032467537 , 0.015151517 , 0.036796536
adventure , 0.0015197569 , 0.022796353 , 0.0015197569 , 0.013677813 , 0.06838906 , 0.016717326 , 0.025835866
advertisement , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
affairs , 0.071428575 , 0.012605043 , 0.004201681 , 0.004201681 , 0.012605043 , 0.03781513 , 0.021008406
age , 3.327418E-5 , 1.7080747E-4 , 8.895298E-4 , 9.5385985E-5 , 7.763975E-5 , 5.9893526E-5 , 1.1313221E-4
agree , 0.007440476 , 0.043154765 , 0.0014880954 , 0.03125 , 0.016369049 , 0.02529762 , 0.02529762
agreed , 0.017857144 , 0.017857144 , 0.0025510206 , 0.048469387 , 0.0127551025 , 0.022959184 , 0.033163264
ahead , 0.0023291926 , 0.01940994 , 7.763976E-4 , 0.0318323 , 0.01940994 , 0.014751554 , 0.058229815
aids , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526
aim , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144
alabama , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
alaska , 0.014285715 , 0.071428575 , 0.014285715 , 0.014285715 , 0.042857148 , 0.014285715 , 0.042857148
alert , 0.0017006804 , 0.008503402 , 0.0017006804 , 0.005102041 , 0.0017006804 , 0.011904763 , 0.120748304
allow , 0.0010351967 , 0.00931677 , 0.0010351967 , 0.025879918 , 0.025879918 , 0.03830228 , 0.046583854
amateur , 0.017857144 , 0.053571433 , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144 , 0.053571433
amazing , 3.210273E-5 , 0.13505618 , 3.210273E-5 , 6.099518E-4 , 6.741573E-4 , 0.0052969507 , 0.0013162119
amendment , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.053571433 , 0.053571433
americans , 0.041666668 , 0.029761905 , 0.0059523815 , 0.029761905 , 0.017857144 , 0.017857144 , 0.029761905
amounts , 0.017857144 , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.077380955 , 0.017857144 , 0.041666668
anal , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
analysis , 3.5360679E-6 , 1.0608204E-5 , 0.0014179633 , 3.5360679E-6 , 3.5360679E-6 , 3.5360679E-6 , 3.5360679E-6
andrew , 0.011904763 , 0.083333336 , 0.011904763 , 0.011904763 , 0.011904763 , 0.011904763 , 0.05952381
anime , 0.011904763 , 0.083333336 , 0.011904763 , 0.035714287 , 0.011904763 , 0.035714287 , 0.011904763
ann , 0.011904763 , 0.083333336 , 0.011904763 , 0.011904763 , 0.011904763 , 0.035714287 , 0.035714287
announced , 0.017006803 , 0.010204082 , 0.0034013607 , 0.037414968 , 0.010204082 , 0.071428575 , 0.010204082
anonymous , 0.0071428576 , 0.021428574 , 0.0071428576 , 0.035714287 , 0.05 , 0.021428574 , 0.035714287
answer , 0.0046296297 , 0.023148147 , 6.613757E-4 , 0.04431217 , 0.012566138 , 0.025793651 , 0.03505291
ap , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
apartment , 0.0017857144 , 0.041071434 , 0.0017857144 , 0.033928573 , 0.01964286 , 0.026785716 , 0.026785716
apartments , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
appeal , 0.0071428576 , 0.021428574 , 0.0071428576 , 0.035714287 , 0.06428572 , 0.035714287 , 0.0071428576
appears , 0.0034013607 , 0.017006803 , 0.0034013607 , 0.030612247 , 0.023809526 , 0.037414968 , 0.04421769
applicable , 0.032467537 , 0.01948052 , 0.006493507 , 0.006493507 , 0.006493507 , 0.045454547 , 0.05844156
approval , 0.0010060363 , 0.0030181087 , 0.0010060363 , 0.0010060363 , 0.0050301813 , 0.13581489 , 0.0010060363
approved , 6.435007E-4 , 6.435007E-4 , 6.435007E-4 , 0.0032175032 , 0.0032175032 , 0.13706565 , 6.435007E-4
approximately , 0.010204082 , 0.030612247 , 0.010204082 , 0.030612247 , 0.071428575 , 0.010204082 , 0.030612247
ar , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.08928572
areas , 3.2030753E-6 , 3.5233825E-5 , 0.0012844332 , 2.2421526E-5 , 2.8827677E-5 , 3.5233825E-5 , 3.5233825E-5
arms , 0.0063775512 , 0.036989797 , 0.0012755103 , 0.016581632 , 0.021683674 , 0.04209184 , 0.024234693
army , 0.057692308 , 0.019230772 , 0.002747253 , 0.019230772 , 0.013736265 , 0.024725277 , 0.019230772
aspects , 0.0029761908 , 0.026785716 , 0.0029761908 , 0.008928572 , 0.020833334 , 0.05059524 , 0.044642854
assembly , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.08928572 , 0.053571433
assets , 0.023809526 , 0.071428575 , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526
assist , 0.007936508 , 0.007936508 , 0.007936508 , 0.007936508 , 0.039682545 , 0.08730159 , 0.023809526
assistant , 0.02747253 , 0.005494506 , 0.005494506 , 0.049450554 , 0.005494506 , 0.071428575 , 0.005494506
associate , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433
atlanta , 0.008928572 , 0.0625 , 0.008928572 , 0.008928572 , 0.008928572 , 0.026785716 , 0.0625
atom , 0.0071428576 , 0.05 , 0.0071428576 , 0.021428574 , 0.021428574 , 0.06428572 , 0.0071428576
attack , 3.7792895E-4 , 0.0034013607 , 3.7792895E-4 , 0.0041572186 , 0.01095994 , 0.0018896448 , 0.123582765
attention , 0.008760109 , 0.030323451 , 6.738545E-4 , 0.04380054 , 0.020889489 , 0.014150944 , 0.027628034
attorney , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.071428575
austin , 0.010204082 , 0.05102041 , 0.010204082 , 0.010204082 , 0.071428575 , 0.010204082 , 0.030612247
austria , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287
automatic , 0.011904763 , 0.05952381 , 0.011904763 , 0.035714287 , 0.035714287 , 0.035714287 , 0.011904763
automatically , 0.0035714288 , 0.010714287 , 0.0035714288 , 0.017857144 , 0.025 , 0.0035714288 , 0.09642858
ave , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
avenue , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.125
avoid , 0.008241759 , 0.0155677665 , 9.15751E-4 , 0.024725277 , 0.052197803 , 0.006410257 , 0.03937729
awards , 0.011904763 , 0.083333336 , 0.011904763 , 0.035714287 , 0.035714287 , 0.011904763 , 0.011904763
babes , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
baby , 1.7142858E-5 , 1.4666667E-4 , 7.6380954E-4 , 5.904762E-5 , 1.1619048E-4 , 1.8476191E-4 , 1.504762E-4
bad , 0.007692308 , 0.010889112 , 9.9900106E-5 , 0.06883117 , 0.027072929 , 0.015084916 , 0.013686314
bag , 0.019756839 , 0.025835866 , 0.0015197569 , 0.03495441 , 0.022796353 , 0.022796353 , 0.022796353
bags , 0.006493507 , 0.032467537 , 0.006493507 , 0.045454547 , 0.01948052 , 0.045454547 , 0.01948052
banking , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
banks , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433
bars , 0.0047619054 , 0.023809526 , 0.0047619054 , 0.014285715 , 0.061904766 , 0.033333335 , 0.023809526
baseball , 0.042857148 , 0.042857148 , 0.014285715 , 0.014285715 , 0.014285715 , 0.071428575 , 0.014285715
basketball , 0.035714287 , 0.035714287 , 0.011904763 , 0.05952381 , 0.011904763 , 0.035714287 , 0.011904763
bass , 0.011904763 , 0.05952381 , 0.011904763 , 0.011904763 , 0.035714287 , 0.035714287 , 0.035714287
bath , 0.021008406 , 0.012605043 , 0.004201681 , 0.071428575 , 0.004201681 , 0.046218492 , 0.004201681
batteries , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526
battery , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.08928572 , 0.053571433 , 0.017857144
battle , 0.010204082 , 0.0061224494 , 0.0020408165 , 0.030612247 , 0.042857148 , 0.042857148 , 0.018367348
bbc , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287
bc , 0.010204082 , 0.030612247 , 0.010204082 , 0.010204082 , 0.091836736 , 0.030612247 , 0.010204082
beach , 1.9379846E-5 , 5.813954E-5 , 0.0011101883 , 2.4916946E-5 , 3.0454046E-5 , 1.1351053E-4 , 8.582503E-5
bear , 0.018518519 , 0.013227513 , 0.0026455028 , 0.02910053 , 0.023809526 , 0.039682545 , 0.02910053
beat , 0.0040877797 , 0.121127374 , 2.151463E-4 , 0.0045180726 , 0.0058089504 , 0.0045180726 , 0.0036574872
beautiful , 9.920635E-4 , 0.014314059 , 1.4172337E-4 , 0.0060941046 , 0.0038265309 , 0.11295352 , 0.0052437647
beauty , 9.920635E-4 , 0.06646826 , 9.920635E-4 , 0.01686508 , 0.008928572 , 0.038690478 , 0.014880952
became , 0.006892231 , 0.01566416 , 6.2656647E-4 , 0.043233085 , 0.01566416 , 0.039473683 , 0.024436092
becomes , 0.002232143 , 0.029017858 , 0.002232143 , 0.020089287 , 0.042410716 , 0.029017858 , 0.029017858
bed , 0.007936508 , 0.027640942 , 2.736727E-4 , 0.02435687 , 0.040777232 , 0.011767927 , 0.031472363
bedroom , 0.014285715 , 0.042857148 , 0.0028571428 , 0.03142857 , 0.008571429 , 0.020000001 , 0.037142858
behavior , 0.02529762 , 0.02232143 , 0.0014880954 , 0.058035716 , 0.010416667 , 0.013392858 , 0.019345239
believe , 0.0021428573 , 0.025476191 , 2.3809525E-4 , 0.015000001 , 0.025476191 , 0.039285716 , 0.03642857
benefit , 0.012315271 , 0.022167487 , 0.0024630544 , 0.027093597 , 0.032019705 , 0.022167487 , 0.036945812
beta , 0.017857144 , 0.125 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144
better , 0.0015369683 , 0.012053067 , 0.032438118 , 0.011405922 , 0.020789517 , 0.054279245 , 0.010758777
beyond , 9.52381E-4 , 0.03142857 , 9.52381E-4 , 0.027619049 , 0.02952381 , 0.03142857 , 0.025714288
big , 5.617978E-5 , 1.9101122E-4 , 6.4365973E-4 , 9.470306E-5 , 1.0754415E-4 , 1.7495987E-4 , 1.6853934E-4
billion , 0.011904763 , 0.05952381 , 0.011904763 , 0.05952381 , 0.011904763 , 0.035714287 , 0.011904763
binding , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.053571433 , 0.053571433
bird , 0.011520738 , 0.020737328 , 0.0023041475 , 0.016129032 , 0.020737328 , 0.062211983 , 0.020737328
birth , 0.0010351967 , 0.017598344 , 0.0010351967 , 0.011387165 , 0.011387165 , 0.07763975 , 0.027950311
birthday , 0.012022631 , 0.019094769 , 7.072136E-4 , 0.028995758 , 0.010608205 , 0.06435644 , 0.010608205
blood , 0.026484752 , 0.024879616 , 8.025683E-4 , 0.012038524 , 0.037720706 , 0.024879616 , 0.020064205
blow , 0.0023041475 , 0.03456221 , 0.0023041475 , 0.011520738 , 0.03917051 , 0.0483871 , 0.016129032
boat , 0.009652509 , 0.009652509 , 0.001930502 , 0.001930502 , 0.021235522 , 0.04826255 , 0.05984556
bonus , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
bookmark , 0.0034013607 , 0.023809526 , 0.0034013607 , 0.030612247 , 0.05102041 , 0.030612247 , 0.017006803
bought , 8.2101807E-4 , 0.028735632 , 8.2101807E-4 , 0.023809526 , 0.030377671 , 0.040229887 , 0.022167487
boxes , 0.0059523815 , 0.029761905 , 0.0059523815 , 0.017857144 , 0.065476194 , 0.017857144 , 0.029761905
brain , 0.006493507 , 0.033910535 , 7.215008E-4 , 0.020923523 , 0.045454547 , 0.013708514 , 0.025252527
branch , 0.006493507 , 0.032467537 , 0.006493507 , 0.006493507 , 0.032467537 , 0.032467537 , 0.05844156
brazil , 0.008928572 , 0.0625 , 0.008928572 , 0.008928572 , 0.08035715 , 0.008928572 , 0.008928572
break , 0.0025329283 , 0.02786221 , 5.0658564E-4 , 0.031914897 , 0.031914897 , 0.015704155 , 0.03495441
breakfast , 0.0015527952 , 0.03881988 , 0.0015527952 , 0.029503107 , 0.057453416 , 0.017080747 , 0.004658385
breaking , 1.3950893E-4 , 0.0015345983 , 1.3950893E-4 , 0.10951451 , 0.0023716518 , 9.765625E-4 , 0.02887835
breast , 0.0031055904 , 0.034161493 , 0.0031055904 , 0.00931677 , 0.015527951 , 0.071428575 , 0.02173913
brian , 0.008928572 , 0.0625 , 0.008928572 , 0.04464286 , 0.008928572 , 0.008928572 , 0.04464286
bridge , 0.012605043 , 0.03781513 , 0.004201681 , 0.004201681 , 0.021008406 , 0.046218492 , 0.03781513
brief , 0.005102041 , 0.045918368 , 0.005102041 , 0.045918368 , 0.0153061235 , 0.025510205 , 0.025510205
broken , 0.0011160715 , 0.0024553575 , 2.232143E-4 , 0.12209822 , 0.0078125 , 0.003348214 , 0.006919643
brother , 0.015673175 , 0.007451182 , 2.5693732E-4 , 0.05318602 , 0.01053443 , 0.046505652 , 0.01053443
bug , 0.007936508 , 0.007936508 , 0.007936508 , 0.023809526 , 0.071428575 , 0.007936508 , 0.05555556
buildings , 0.007936508 , 0.103174604 , 0.007936508 , 0.007936508 , 0.007936508 , 0.039682545 , 0.007936508
bureau , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526
calling , 0.0067669176 , 0.03533835 , 7.5187976E-4 , 0.02781955 , 0.02631579 , 0.02932331 , 0.020300753
camp , 0.016917294 , 0.013157894 , 0.0018796993 , 0.016917294 , 0.0056390977 , 0.039473683 , 0.058270678
cape , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.071428575
cards , 3.1887757E-6 , 4.7831632E-5 , 0.001278699 , 4.7831632E-5 , 1.5943879E-5 , 2.232143E-5 , 2.869898E-5
care , 0.0031055904 , 0.020496894 , 2.0703935E-4 , 0.025465839 , 0.020496894 , 0.05362319 , 0.020496894
career , 0.005494506 , 0.02747253 , 0.001831502 , 0.02747253 , 0.02747253 , 0.020146523 , 0.042124547
careers , 0.008928572 , 0.04464286 , 0.008928572 , 0.04464286 , 0.04464286 , 0.008928572 , 0.026785716
carried , 0.025714288 , 0.042857148 , 0.0028571428 , 0.037142858 , 0.03142857 , 0.008571429 , 0.008571429
carry , 0.0014880954 , 0.019345239 , 0.0014880954 , 0.028273812 , 0.03720238 , 0.03720238 , 0.02529762
cast , 0.002747253 , 0.024725277 , 0.002747253 , 0.030219782 , 0.019230772 , 0.030219782 , 0.046703298
categories , 3.518649E-6 , 3.518649E-6 , 0.0014109783 , 3.518649E-6 , 3.518649E-6 , 1.7593244E-5 , 3.518649E-6
caused , 0.023437502 , 0.016741073 , 0.0011160715 , 0.03013393 , 0.0390625 , 0.016741073 , 0.021205358
cc , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287
cent , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.08928572 , 0.053571433
centers , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287
certainly , 7.680492E-4 , 0.02688172 , 7.680492E-4 , 0.0437788 , 0.02841782 , 0.031490017 , 0.014592934
ch , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
chain , 0.025510205 , 0.0153061235 , 0.005102041 , 0.025510205 , 0.035714287 , 0.025510205 , 0.035714287
chairman , 0.008928572 , 0.026785716 , 0.008928572 , 0.08035715 , 0.008928572 , 0.04464286 , 0.008928572
challenge , 0.0062656645 , 0.036340855 , 0.0012531329 , 0.013784462 , 0.02631579 , 0.03884712 , 0.02631579
changes , 2.446184E-6 , 1.14970644E-4 , 9.809198E-4 , 4.6477493E-5 , 5.136987E-5 , 6.1154606E-5 , 1.8346381E-4
changing , 0.0017006804 , 0.05952381 , 0.0017006804 , 0.005102041 , 0.018707484 , 0.022108845 , 0.04251701
charges , 0.0071428576 , 0.021428574 , 0.0071428576 , 0.0071428576 , 0.021428574 , 0.107142866 , 0.0071428576
chart , 0.011904763 , 0.011904763 , 0.011904763 , 0.035714287 , 0.011904763 , 0.05952381 , 0.05952381
cheap , 0.010714287 , 0.017857144 , 0.0035714288 , 0.03214286 , 0.039285716 , 0.03214286 , 0.025
checkout , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526
chemical , 0.039682545 , 0.039682545 , 0.007936508 , 0.039682545 , 0.023809526 , 0.007936508 , 0.023809526
christ , 7.002802E-4 , 0.018907566 , 7.002802E-4 , 0.0021008404 , 0.0035014008 , 0.107142866 , 0.013305323
circuit , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526
claim , 0.0035714288 , 0.025 , 0.0035714288 , 0.010714287 , 0.03214286 , 0.025 , 0.06071429
claims , 0.01948052 , 0.01948052 , 0.006493507 , 0.01948052 , 0.01948052 , 0.032467537 , 0.05844156
classical , 0.011904763 , 0.035714287 , 0.011904763 , 0.011904763 , 0.011904763 , 0.107142866 , 0.011904763
clean , 0.022200773 , 0.018339768 , 9.65251E-4 , 0.035714287 , 0.035714287 , 0.020270271 , 0.014478765
cleaning , 0.0032467535 , 0.02922078 , 0.0032467535 , 0.02922078 , 0.02922078 , 0.02922078 , 0.035714287
clear , 0.005102041 , 0.029591838 , 0.0010204082 , 0.029591838 , 0.02346939 , 0.031632654 , 0.027551021
clearly , 0.001347709 , 0.036388144 , 0.001347709 , 0.033692725 , 0.014824798 , 0.028301887 , 0.033692725
clip , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144
clips , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144 , 0.053571433 , 0.053571433 , 0.017857144
clock , 0.005494506 , 0.038461544 , 0.005494506 , 0.049450554 , 0.02747253 , 0.016483517 , 0.02747253
close , 8.785943E-5 , 8.101323E-5 , 4.5755363E-4 , 1.517572E-4 , 1.7685989E-4 , 3.4116843E-4 , 1.3806482E-4
closed , 5.7603687E-4 , 0.009792628 , 5.7603687E-4 , 0.08237328 , 0.019009218 , 0.015552996 , 0.017857144
clothes , 0.010608205 , 0.03182461 , 7.072136E-4 , 0.030410185 , 0.024752475 , 0.02758133 , 0.020509195
club , 4.072682E-5 , 3.4461154E-5 , 0.0012562657 , 3.4461154E-5 , 2.8195489E-5 , 2.8195489E-5 , 2.1929825E-5
clubs , 0.008928572 , 0.026785716 , 0.008928572 , 0.08035715 , 0.026785716 , 0.008928572 , 0.026785716
cm , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433
coast , 0.019841272 , 0.019841272 , 0.003968254 , 0.011904763 , 0.02777778 , 0.043650795 , 0.035714287
cock , 0.007936508 , 0.05555556 , 0.007936508 , 0.023809526 , 0.007936508 , 0.05555556 , 0.023809526
cold , 0.005696757 , 0.015337424 , 4.382121E-4 , 0.053900097 , 0.039000876 , 0.010955303 , 0.019719545
collectibles , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
colors , 0.0032467535 , 0.0487013 , 0.0032467535 , 0.022727275 , 0.022727275 , 0.035714287 , 0.022727275
colour , 0.0023041475 , 0.020737328 , 0.0023041475 , 0.0023041475 , 0.025345622 , 0.071428575 , 0.029953917
column , 0.030612247 , 0.091836736 , 0.010204082 , 0.010204082 , 0.010204082 , 0.030612247 , 0.010204082
combination , 0.0024630544 , 0.05172414 , 0.0024630544 , 0.022167487 , 0.022167487 , 0.027093597 , 0.027093597
combined , 0.011904763 , 0.05952381 , 0.011904763 , 0.011904763 , 0.05952381 , 0.035714287 , 0.011904763
comfort , 0.0015595758 , 0.007174049 , 3.1191518E-4 , 0.0059263883 , 0.009045539 , 0.10761073 , 0.012788522
comics , 0.008928572 , 0.04464286 , 0.008928572 , 0.04464286 , 0.008928572 , 0.04464286 , 0.026785716
common , 8.928572E-6 , 6.25E-5 , 0.0011934525 , 6.25E-5 , 4.464286E-5 , 5.059524E-5 , 2.0833335E-5
companies , 3.3692725E-6 , 5.727763E-5 , 0.0013510782 , 1.0107818E-5 , 1.0107818E-5 , 3.3692725E-6 , 1.0107818E-5
compared , 0.0018796993 , 0.043233085 , 0.0018796993 , 0.035714287 , 0.028195491 , 0.020676693 , 0.020676693
comparison , 0.005494506 , 0.038461544 , 0.005494506 , 0.038461544 , 0.049450554 , 0.005494506 , 0.02747253
compatible , 0.0010989011 , 0.0032967036 , 0.0010989011 , 0.0010989011 , 0.0032967036 , 0.13736264 , 0.0010989011
competition , 0.0023809527 , 0.011904763 , 0.0023809527 , 0.030952383 , 0.011904763 , 0.08809524 , 0.0071428576
complete , 7.680492E-6 , 9.9846395E-5 , 0.0010266257 , 4.3522785E-5 , 1.0496672E-4 , 7.9365076E-5 , 7.9365076E-5
completely , 0.0025654875 , 0.028760467 , 1.3502566E-4 , 0.0122873355 , 0.055495545 , 0.016608156 , 0.02768026
complex , 0.018796993 , 0.033834588 , 0.0037593986 , 0.033834588 , 0.011278195 , 0.018796993 , 0.041353386
computing , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
con , 0.014285715 , 0.071428575 , 0.014285715 , 0.014285715 , 0.042857148 , 0.042857148 , 0.014285715
concept , 0.0059523815 , 0.065476194 , 0.0059523815 , 0.029761905 , 0.0059523815 , 0.0059523815 , 0.053571433
concerns , 0.0035714288 , 0.046428572 , 0.0035714288 , 0.010714287 , 0.025 , 0.010714287 , 0.06071429
conduct , 0.045454547 , 0.01948052 , 0.006493507 , 0.05844156 , 0.01948052 , 0.006493507 , 0.01948052
connected , 0.0021008404 , 0.027310926 , 0.0021008404 , 0.023109246 , 0.010504203 , 0.05672269 , 0.031512607
consulting , 0.014285715 , 0.014285715 , 0.014285715 , 0.042857148 , 0.014285715 , 0.1 , 0.014285715
contacts , 0.014285715 , 0.014285715 , 0.014285715 , 0.042857148 , 0.042857148 , 0.014285715 , 0.071428575
contain , 0.007936508 , 0.039682545 , 0.007936508 , 0.023809526 , 0.039682545 , 0.039682545 , 0.023809526
contained , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
containing , 0.014285715 , 0.042857148 , 0.014285715 , 0.071428575 , 0.014285715 , 0.014285715 , 0.042857148
contemporary , 0.014285715 , 0.042857148 , 0.014285715 , 0.014285715 , 0.071428575 , 0.042857148 , 0.014285715
contract , 0.0071428576 , 0.021428574 , 0.0071428576 , 0.035714287 , 0.0071428576 , 0.05 , 0.05
controls , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
convention , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
conversion , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.071428575
cool , 0.0016611296 , 0.024916943 , 5.5370986E-4 , 0.009413068 , 0.0049833893 , 0.08803987 , 0.016057586
copies , 0.008928572 , 0.026785716 , 0.008928572 , 0.08035715 , 0.026785716 , 0.008928572 , 0.026785716
corner , 0.002232143 , 0.055803575 , 0.002232143 , 0.03794643 , 0.024553573 , 0.006696429 , 0.024553573
cost , 0.014880952 , 0.044642854 , 0.0029761908 , 0.044642854 , 0.014880952 , 0.020833334 , 0.014880952
costs , 3.501401E-6 , 3.501401E-6 , 0.0014040618 , 3.501401E-6 , 3.501401E-6 , 1.0504202E-5 , 1.7507004E-5
counter , 0.019841272 , 0.019841272 , 0.003968254 , 0.06746032 , 0.003968254 , 0.02777778 , 0.019841272
covered , 0.0021645024 , 0.041125543 , 0.0021645024 , 0.006493507 , 0.01948052 , 0.02813853 , 0.054112557
covers , 0.003968254 , 0.035714287 , 0.003968254 , 0.003968254 , 0.019841272 , 0.035714287 , 0.05952381
cream , 0.006493507 , 0.01948052 , 0.0021645024 , 0.010822511 , 0.06709957 , 0.02813853 , 0.01948052
creating , 0.011278195 , 0.02631579 , 0.0037593986 , 0.018796993 , 0.041353386 , 0.033834588 , 0.02631579
